rg,smi,lable
[Ni][Sc][Zn][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y],Cc1cn2c(-c3cnn(CC(=O)NCc4ccccc4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,
[Mn][Mn][Mo],O=C(O)c1ccc2[nH]c(=O)n(-c3nc4ccccc4[nH]3)c2c1,
[Ni][Sc]([Ni][Zn])[Ni]1[Zn][Zn][Sc]([Co][Sc]([Mo])[Ni][Zn])[Sc]1[Zn],COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,
[Sc]=[V]([Sc][Zn])[Zn][Sc][Ni][Co][Y][Zn],CN1CCC(NC(=O)c2ccc(Cn3nc(-c4cnn(C)c4)c4ccccc4c3=O)cc2)CC1,
[Sc]=[Sc][Sc](=[Ti])[Sc](=[Sc][Co])[Zn][Ni][Co],NC(=O)Cn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,
[Zn][Mn]([Zn])[Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3c(Cl)c(Cl)cnc3[nH]2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Zn])[Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)c3)ncnc12,
[Sc][Co][Ni][Sc]([Sc])[Sc][Zn],Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)Nc2ccccc2)cc1,
[Zn][Co][Ni][Hf]=[Ti][Co][Ni][Zn][Sc][Hf],CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,
[Sc]=[Cr][Co][Sc][Co][Ni][Sc]([Ni])[Ni],O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(F)cc1F,
[Sc][Mn]([Zn])([Sc][Nb]([Cu])[Zn])[Sc]=[Sc][Ni][Zn],COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S+](C)O)cc4)n3C)ccc2c1,
[Ti][Ti]=[Sc][Co][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(Nc2cc3[nH]c(-c4cn[nH]c4)cc3cn2)cc1OC,
[Ni][Sc][Co][Ni][Zn][Ti][Co][Sc]=[Sc][Ni][Zn][Nb]([Zn])[Zn][Cu],CCCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,
[Co][Ni][Sc]([Ni])[Co][Ti][Co][Sc]([Ni][Zn])=[Hf][Ni][Zn][Y][Zn],COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN1CCN(C(C)C)CC1)CC2,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Br)cc4)c3)ncnc12,
[Mn][Zn]1[Ni][Co][Ni][Zn]1[Sc]1=[Sc][Zn][Zn]([Ni][W])[Zn][Zn]1,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,
[Zn][Sc]1[Co][Sc][Co][Ni]1,O=C1Nc2ccccc2Nc2nnc(Cl)cc21,
[Sc]=[V]([Co][Ti][Zn])[Zn][Ni][Sc][Ni][Zn],COc1ccc(C(=O)Cn2nc(Nc3cc(C)[nH]n3)c3ccccc3c2=O)cc1,
[Zn][Ni][Sc][Sc][Co][Sc][Ni][Zn],COc1ccccc1-c1ccnc(Nc2cccc(S(C)(=O)=O)c2)n1,
[Ni][Sc][Zn][Ni][Sc]([Zn])[Co][Sc]=[Sc][Sc][Zn][Nb]([Zn][Zn])[Zn][Ni][Zn],CS(=O)(=O)CCN(CC#N)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,
[Co][Cr][Sc][Zn],Cn1cc(-c2c[nH]c(=O)c(N)c2)cn1,
[Co][Ni][Sc][Co][Ti][Co][Sc]([Ni][Zn])=[Hf]([Zn])([Zn])[Ni][Zn][Nb]([Zn])[Zn],COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2(C)C,
[Sc]=[Sc]([Co][Mn])[Ni][Sc][Sc][Co][Zn][Y][Zn],CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,
[Zn][Ni][Sc][Mn][Co][Sc][Ni][Zn],COc1ccc(Nc2nc(-c3ccc(OC)nc3)cn3ccnc23)cc1,
[Mn][Sc][Hf],c1cnc2[nH]c(-c3ccc(N4CCCC4)cc3)nc2c1,
[Zn][Zn][Sc][Sc][Zn][Zn][Sc][Sc]=[W],N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,
[Sc]=[Sc][Sc][Co][Sc]=[Sc],c1ccc2sc(-c3ccc(Nc4ncnc5ccsc45)cc3)nc2c1,
[Sc]=[Sc]([Co][Zn])[Co][Sc]=[Re]([Zn])[Zn],CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21,
[Co][Sc]=[Sc][Ni][Co][Sc][Zn][Co][Ni][Co][Sc][Zn],Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(Cl)c4)c3)c12,
[Sc][Zn][Co][Sc]=[Sc]([Co][Zn][Mn])[Ni][Co],NC(=O)c1cc(NCc2ncc[nH]2)cc2c(NCc3ccccc3)ncnc12,
[Zn][Sc][Ni][Sc](=[Sc][Zn])[Co][Ti][Zn],Cc1ccc(C(=O)c2nc(Nc3cc(C)[nH]n3)c3ccc(Cl)cc3n2)cc1,
[Ni][Sc][Zn][Ni][Sc]([Zn])[Co][Sc]=[Sc][Sc][Zn][Nb][Zn][Ni][Zn],CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,
[Sc]=[Sc][Ti][Sc][Zn],Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,
