rg,smi,lable
[Zn][Ti][Co][Sc]([Zn])[Zn][Sc][Co][Ni][Zn],CCC(=O)Nc1ccc(Sc2nc(C)cc(Nc3cc(C)[nH]n3)n2)cc1,
[Y][Zn][Mn][Ti][Co][Ni][Co][Hf],O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CCCCC1,
[Co][Sc]=[Sc]([Zn])[Ni][Sc][Co][Hf]([Sc][Ni])[Ni][Zn],CC(=O)N1CCC(Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)C1c1ccc(F)cc1,
[Sc][Co][Ni][Sc][Co][Sc][Co][Sc][Zn],O=C(Nc1ccccc1)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,
[Sc][Co][Ni][Co][Sc][Sc]([Zn])[Ti][Sc][Co][Ni][Zn],CCn1cc(-c2ccnc3[nH]c(-c4ccc(NC(C)=O)cc4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,
[Sc][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Zn])[Ni][Zn],COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,
[Ti][Sc]([Sc][Ni][Zn])=[Sc][Co],CS(=O)(=O)c1ccc(-n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)cc1,
[Cu][V](=[Sc][Zn])=[Sc]([Zn])[Sc][Zn],Cc1ccc(-n2nc(C)c3c(=O)c4cc(Cl)ccc4n(O)c32)cc1,
[Sc][Zn]([Sc])[Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NC(Cn3ccnn3)c3ccccc3)ncnc12,
[Zn][Ti][Co][Sc]([Zn][Sc][Co][Ni][Zn])[Y][Hf],CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C4CC4)CC3)n2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Cu],NC(=O)c1cccc2c(NCc3ccc(O)cc3)ncnc12,
[Zn][Sc][Co][Ni][Co][Sc]([Zn])[Ti][Co][Ni][Sc][Zn][Y][Zn],Cc1cc(-c2cc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)[nH]n2)ccc1NC(=O)Nc1cc(C(C)(C)C)on1,
[Cr][Sc]=[Sc][Ni][Sc][Zn],O=c1nc(-c2cc3c(Oc4ccc(I)cc4)cncc3s2)[nH]o1,
[Sc][Zn]1[Ti][Co][Zn]([Zn])[Zn]1[Ni][Co][Sc][Ni][Zn],COc1ccc(NC(=O)C2=C(C)Nc3n[nH]cc3C2c2ccco2)cc1,
[Zn][Sc][Co][Mn]([Zn])[Co][Hf][Nb],CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,
[Sc][Sc]([Sc][Zn])[Ni][Co][Sc][Ni][Zn],CCOc1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(C)cc2)cc1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Sc][Zn],Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc(C(F)(F)F)cc3)ncc1CC2,
[Ni][Sc]([Ni])[Co][Ni][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn][Cu],COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4F)s3)ncnc2cc1OCCCN1CCCC1CO,
[Sc][Co][Cr]=[Sc],O=c1[nH]c2nccc(Nc3ccccc3)c2c2ccccc12,
[Zn][Mn][Zn][Co][Sc][Co][Ti][W],Clc1c(CNc2nccc(Nc3cc(C4CCCO4)[nH]n3)n2)ccc2[nH]cnc12,
[Sc]=[Ti][Sc][Co],Nc1cccc(-c2n[nH]c3ccccc23)c1,
[Mn][Zn][Sc][Zn]1[Ti]([Ni][Ni][Zn])[Co][Zn]2[Zn][Zn][Zn][Ni][Zn]21,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Sc2nc3ccccc3[nH]2)n1,
[Co][Ni][Sc][Co][Zn][Re]=[Sc][Zn],CC(C)=Cc1cccc2c1C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,
[Mn][Sc][Co][Zn][Sc][Ni],CC(Nc1cncc(-n2cnc3ccccc32)n1)c1ccc(F)cc1,
[Sc][Sc]([Zn])=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn],Cc1ccccc1NC(=O)Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1,
[Zn][Ni][Zn][Ni][Zn][Sc][Ti]1[Ni][Sc]1[Zn][Y][Zn],COCCOCC#Cc1cc(-c2n[nH]c3c2C(=O)c2cc(CN4CCN(C)CC4)ccc2-3)cs1,
[Sc]=[Sc]([Sc][Co])[Zn][Sc]([Zn])[Zn],Cc1noc(C)c1Cn1cc(-c2ccnc(N)n2)c2ccccc21,
[Cu][Zn][Y][Zn][Ni][Sc](=[Sc][Co][Ti][Zn][Ni][Co][Sc][Zn])[Ni][Zn],COc1cc2c(Nc3cc(CC(=O)Nc4cccc(Cl)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,
[Ti][Co][Sc][Zn][Hf]([Ni][Sc]([Ni])[Zn])[Zn][Zn],N#CC1(Cc2cccc(Nc3cc[nH]n3)n2)CCC(Oc2cccc(Cl)c2F)CC1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Ti]=[Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc5cc(Cl)ccc5[nH]4)c3)ncnc12,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Nb]([Zn])[Mo])[Ni][Zn],C=[N+]([O-])c1cccc(C(COC)Nc2ncnc3c(C(N)=O)cccc23)c1,
[Zn][Ni][Co][Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],CC(=O)Nc1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)O)C(=O)CCC3)C(=O)N2,
[Sc]=[Ti][Zn][Zn]1[Ni][Co][Zn][Zn]1[Co][Zn],CC(C)NC1=NNC(=O)C1=Cc1cc2ccccc2[nH]1,
[Sc][Co][Ni][Sc]=[Ti][Co][Ni][Sc][Y][Zn],CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cc(C(=O)Nc5ccccc5)sc34)cc2)CC1,
[Sc][Sc]([Sc][Co][Sc][Zn])=[Sc][Zn],Cc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)c(-c3ccccc3)nn2n1,
[Sc][Zn]([Y])[Co][Ni][Sc]=[Ti][Co][Ni][Sc][Y][Zn],CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cc(C(=O)NC(CN5CCCC5)c5ccccc5)sc34)cc2)CC1,
[Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],O=C(O)CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2,
[Sc][Ni][Zn]([Zn])[Sc]=[Ti][Ti]=[Sc],CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4ccccc34)cc2n1,
[Sc][Zn][Co][Sc][Sc][Sc][Zn],CC(C)c1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Ni])[Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)c(F)c2)c1,
[Sc][Mn]([Sc][Ni])[Zn][Y],Fc1ccc(-c2ncn(CCCN3CCOCC3)c2-c2ccncc2)cc1,
[Co][Ni][Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],NS(=O)(=O)c1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)O)C(=O)CCC3)C(=O)N2,
[Co][Cr][Zn],Cc1cc2[nH]nc(N)c2c(=O)[nH]1,
[Sc][Zn][Ni][Hf]=[Ti][Co][Ni][Sc][Y][Zn],CC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,
[Sc][Zn][Co][Sc][Sc][Sc]=[Ti],c1ccc(-c2cn(-c3ccc4[nH]ncc4c3)nn2)c(NCc2ccncc2)c1,
[Sc]=[Hf][Ti][Co][Sc]([Ni][Zn])=[Hf][Ni][Zn][Nb]([Zn])[Zn],COc1cc2c(cc1Nc1nc(N3CCc4ccccc43)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,
[Zn][Sc][Zn][Y][Mn]([Zn])[Y],Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCNCC5)nc34)CC2)no1,
[Sc][Zn]([Zn])[Co][Sc]=[Sc][Ni][Co],N#CCC(Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,
[Co][Sc][Ni][Co][Zn]([Sc][Cu])[Ni][Co][Sc][Zn],Cc1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2N)cc1,
[Zn][W][Ti][Co][Sc][Zn]([Zn])[Zn][Hf][Nb],CN1CCC(c2cc(Nc3ccnc(N(C)CC4CCC(N)CC4)n3)n[nH]2)C1=O,
[Ni][Sc][Co][Ni][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y],COc1cc2c(Nc3nc(CC(=O)Nc4cccc(F)c4)cs3)ncnc2cc1OCCCN1CCOCC1,
[Sc]=[Cr]([Mn])[Co][Y],O=c1[nH]c2sccc2c(NC2CCCNC2)c1-c1nc2ccccc2[nH]1,
[Sc][Ni][Co][Sc]=[Ti][Sc][Co][Ni][Zn],CC#CC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Ni][Zn])[Zn]1[Zn][Zn][Zn][Zn]([Co][Ni][Sc][Ni])[Zn]1,COCCC(Nc1ncnc2c(C(N)=O)cccc12)C1=CCCC(NC(=O)c2ccccc2F)=C1,
[Zn][Sc]([Co][Sc]=[Sc][Hf]=[Hf])[Ni][Hf],Cn1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cc1C(=O)N1CCCC1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Ni],NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(F)c4)c3)ncnc12,
[Ti]=[Sc]=[Sc][Co][Ni][Zn][Co][Sc][Ni][Zn],COc1cccc(NC(C)C(=O)Nc2nc3ccc4[nH]ncc4c3s2)c1,
[Ni][Mn]([Zn])[Sc]([Zn])[Zn],O=Cc1c(-c2cc(Cl)sc2Cl)nc2sc(Cl)cn12,
[Sc]=[Sc]([Co][Ti][Zn])[Zn][Sc][Co][Ni][Zn],CC(=O)Nc1ccc(Sc2nc(Nc3cc(C)n[nH]3)c3ccccc3n2)cc1,
[Zn][Ni][Sc]([Zn])([Zn])[Co][Ni][Co][Sc][Zn][Zn],COc1cc(C)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,
[Sc][Zn]([Sc])([Cu])[Ni][Co][Co][Zn]([Zn])[Co][Sc][Zn],O=C(NNC(=S)Nc1ccc(Cl)cc1)C(O)(c1ccccc1)c1ccccc1,
[Ni][Sc][Co][Ni][Co][Sc][Co][Sc]=[Sc][Ni][Zn][Y][Zn],CN1CCC(COc2ccc3c(Nc4ccc(NC(=O)Nc5cccc(F)c5)cc4)ncnc3c2)CC1,
[Cu][Hf]=[Sc][Re]=[Sc][Zn][Zn],N#Cc1ccc2c(c1)C(c1ccc3c(n1)CCCC3O)C(=O)N2,
[Sc][Sc](=[Sc][Ni][Zn])[Co][Ti][Zn],COc1ccc2c(Nc3cc(C)[nH]n3)nc(-c3ccccc3)nc2c1,
[Mn][Sc][Co][Ni][Co][Sc][Zn],O=C(Nc1ccc(-n2cnc3ccccc32)cc1)Nc1cccc(C(F)(F)F)c1,
[Sc]=[Ti][Ti]=[Sc][Zn]([Zn])[Ni][Sc][Zn],CN(C(=O)c1ccc(Cl)cc1)c1ccc2[nH]c(-c3n[nH]c4ccccc34)cc2n1,
[Co][Ni][Sc]([Co][Ni][Co][Zn][Y])[Ni][Zn][Sc]([Ni])([Ni])[Zn],NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,
[Ni][Sc][Ni][Co][Sc][Co][Sc]([Ni])[Co][Sc][Cu],O=C(Nc1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1)c1ccccc1F,
[Co][Ni][Sc]=[Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2nccc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Zn]([Cu])[Ti][Hf])[Nb]([Zn])[Zn],CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(O)c2cc(C3CC3)n[nH]2)c1,
[Sc]=[Sc]=[Sc]([Cu])[Zn][Zn],CSc1cnc2c(ccc3cnccc32)c1O,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Ni][Zn][Y],NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(OCCN5CCOCC5)c4)c3)ncnc12,
[Sc][Zn][Ni][Sc](=[Sc][Co][Zn][Sc][Zn])[Ni][Co],NC(=O)c1cc(OCc2ccccc2)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,
[Ni][Sc][Ni][Co][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn][Cu],COc1cc2c(Nc3ncc(CNS(=O)(=O)c4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,
[Sc][Co][Ni][Co][Sc][Sc]([Ti])[Zn][Cu],O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCO)cc2-c2ccnc3[nH]ccc23)cc1,
[Cu][Sc][Co][Sc][Co][Sc][Mo],O=C(O)c1ccccc1Nc1ccnc(Nc2ccc(O)cc2)n1,
[Sc][Ni][Co][Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],O=C(O)CCc1c(C=C2C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,
[Sc][Mn]([Zn])([Sc][Ni])[Zn][Cu],C#Cn1c(C#CCCO)nc(-c2ccc(F)cc2)c1-c1ccncc1,
[Sc][Zn][Mn][Co][Sc]=[Sc],c1ccc(Cc2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,
[Sc][Co][Zn][Sc][Sc]([Cu])[Ni][Co][Sc][Ni][Ni][Zn],COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ncco4)nn3)ccc2O)c1,
[Sc][Ni][Co][Sc]=[Sc][Sc][Co][Ni][Sc]([Zn])[W],O=C(Nc1cccc(-n2ccc3c(NC(=O)c4ccccc4)nccc32)c1)c1ccc(N2CCOCC2)c(C(F)(F)F)c1,
[Cu][Zn]([Hf])[Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Hf],Cn1nc(C(=O)N(O)C2CCCCC2)c2c1-c1nc(NC3CCCC3)ncc1CC2,
[Sc][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cncnc2)c1,
[Co][Ni][Sc][Zn][Co][Ni][Sc]([Co])([Ni][Zn])[Zn][Zn],CCOc1nc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc(N)c1C#N,
[Co][Ni][Sc]=[Sc][Co][Zn][Zn]1[Zn][Zn][Zn][Zn]([Zn])[Zn]1,NC(=O)c1cccc2c(NCC3=CC(Cl)=CCC3)ncnc12,
[Sc][Ni][Co][Sc]([Zn])=[Sc]([Co][Ni][Co][Zn])[Ni][Co],CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)c3cccs3)cc2c1C(N)=O,
[Mn][Co][Zn][Ni][Co][Sc][Ni][Co][Zn],CCCCNC(=O)c1cccc(NC(=O)CCCCCNc2ncnc3[nH]cnc23)c1,
[Ti][Zn][Re]=[Sc][Co][Ni][Cr][Sc][Ni],O=C1Nc2cc(NC(=O)c3c[nH]cc(-c4ccccc4F)c3=O)ccc2C1=Cc1ccc[nH]1,
[Zn][Sc][Sc]([Co][Sc]=[Sc][Co][Zn])[Ni][Zn],COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(NC(C)C(C)(C)C)c2n1,
[Zn][Sc]([Co][Sc][Mo])[Co][Sc][Mo],Cc1cnc(Nc2ccc(C(=O)O)cc2)nc1Nc1ccccc1C(=O)O,
[Mn][Ti][Co][Ni][Zn],CC(=O)Nc1c[nH]nc1-c1nc2ccccc2[nH]1,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Zn])[Ni][Zn][Y][Zn][Ni][Zn],COCC1CCCN1CCCOc1cc(C(N)=O)c2ncnc(NCc3ccc(C(F)(F)F)cc3)c2c1,
[Zn][Sc][Co][Sc][Co][Sc][Mo],O=C(O)c1cccc(Nc2nccc(Nc3ccccc3Cl)n2)c1,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Zn])[Ni][Zn],COc1cc(C(N)=O)c2ncnc(NCc3cccc(C(F)(F)F)c3)c2c1,
[Sc][Ni]1[Zn][Zn][Co][Sc]([Co])[Zn]1,Nc1ncnc2c1N=C(c1ccccc1)CCN2,
[Sc]=[Sc]([Zn])[Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],Cn1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c2ccccc21,
[Zn][Ni][Zn][Hf][Ni][Sc]([Zn])[Co][Sc]=[Sc][Hf]=[Hf],COCC1CCCN1C(=O)c1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cn1C,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn])[Zn]([Cu])[Cu],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(C(O)CO)cc34)c2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Zn])[Nb]([Zn])[Zn],CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Cl)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(Cl)c4)c3)ncnc12,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Ti][Hf])[Y][Zn],CN1CCN(CCC(Nc2ncnc3c(C(N)=O)cccc23)c2cccc(NC(=O)c3cc(C4CC4)n[nH]3)c2)CC1,
[Zn][Sc][Zn][Co][Ni][Sc]=[Ti][Zn],Cc1n[nH]c2sc(C(=O)NCCc3ccc(Cl)cc3)cc12,
[Zn][Co][V][Co][Sc][Co][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(Nc2nccc(Nc3c(NC(C)C(C)(C)C)c(=O)c3=O)n2)cc1OC,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Zn])[Ni][Zn],COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C(F)(F)F,
[Ti][Mn]([Zn])[Co][Sc][Zn][Sc][Ni],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cc3cccc(F)n3)ns2)n1,
[Sc][Ti]=[Sc]([Ni])([Ni])([Ni])[Ni],Fc1c(F)c(F)c2c(-c3ccccc3)n[nH]c2c1F,
[Sc][Sc][Mn],c1ccc(-c2ccc(-c3nc4cccnc4[nH]3)cc2)nc1,
[Sc][Ti]([Zn])[Co][Ni][Zn][Y][Zn],CCN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(Br)cc23)CC1,
[Zn][Sc]([Zn])[Co][Ti][Mn][Zn][Y],Cc1nc(Cl)cc(Nc2c[nH]nc2-c2nc3cc(CN4CCOCC4)ccc3[nH]2)n1,
[Cu][Sc]([Zn])([Zn])[Zn][Sc][Ni][Ni][Zn],COC(=O)c1cncc(C=Cc2c(C)cc(O)cc2C)c1,
[Ni][Sc]([Co][Sc][Cu])[Co][Sc][Ni][Zn]([Zn])[Zn],CN(C)C(=O)c1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1,
[Ni][Mn]([Zn])[Sc][Zn][Zn],N#Cc1ccc(-c2nc3sc(Cl)cn3c2C=O)cc1,
[Ti]=[Sc][Co][Ni][Zn]1[Zn]([Zn])[Co][Ni][Co][Zn]1[Sc][Ni],CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)cc2)NC(=O)N1,
[Co][Ni][Sc]1[Co][Ni][Sc]([Zn])[Co]1,NC(=O)c1cccc2c1Nc1nnc(Cl)cc1C(=O)N2,
[Ni][Sc][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y],Cc1cn2c(-c3cnn(CC(=O)Nc4ccccc4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,
[Sc]=[Sc]([Zn])([Co][Mn])[Ni][Sc][Sc][Co][Zn],CNc1nccc(-c2cccnc2Oc2c(C)cc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Nb])[Sc][Ni][Zn],COc1cccc(C(CN)Nc2ncnc3c(C(N)=O)cccc23)c1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Zn]([Zn])[Zn])[Nb]([Zn])[Zn],CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccnc(N(C)C)c2)c1,
[Sc][Zn][Ti]=[Sc]([Hf])[Nb]([Zn])[Mo],O=[N+]([O-])c1cc2c(C=Cc3ccccc3)n[nH]c2cc1N1CCCC1,
[Sc][Co][Ni][Co][Sc][Sc]([Ti])[Zn][Cu],O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCCO)cc2-c2ccnc3[nH]ccc23)cc1,
[Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Sc][Ni][Zn][Y][Zn],CN1CCN(CCOc2ccc(-c3cc4c(NCCc5ccc(NC(=O)Nc6ccccc6)cc5)ncnc4o3)cc2)CC1,
[Sc][Zn]([Co][Sc]=[Sc]([Ni][Co])[Ni][Zn])[Nb][Zn],CNCC(Nc1ncnc2c(C(N)=O)cc(OC)cc12)c1ccccc1,
[Zn][Ni][Zn]([Zn])[Sc][Zn][Co][Sc]([Zn])[Co][Sc]=[Re],CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Co][Ni][Sc][Hf])[Ni][Zn][Y],NC(=O)c1cc(OCCN2CCOCC2)cc2c(NCc3cccc(NC(=O)c4ccnc(N5CCCC5)c4)c3)ncnc12,
[Co][Ti]=[Sc][Ni][Co][Sc][Zn][Co][Ni][Co][Sc]([Ni])[Ni],Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12,
[Co][Ni][Sc]=[Sc][Hf]=[Sc][Nb]([Zn])[Mo],NC(=O)c1cccc2c(N3CCc4ccc([N+](=O)[O-])cc4C3)ncnc12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],Cc1ncc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)s1,
[Zn][Ti][Co][Sc]([Y])[Zn][Sc][Co][Ni][Zn],CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCNCC3)n2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn],COc1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,
[Ni][Sc]([Zn])[Co][Sc]([Ni])([Ni])[Ni][Co][Ni][Zn][Cu],O=C(NOCCO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn],CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)nc2)c1,
[Zn][Y][Sc][Co][Sc]=[V]([Zn])[Ni][Sc]([Zn])[Zn],CN1CCN(c2ccc(Nc3ncc4cc(Oc5c(Cl)cccc5Cl)c(=O)n(C)c4n3)cc2)CC1,
[Sc][Sc]=[Sc][Zn],CCCCCc1cc2nn(-c3ccccc3)cc2cn1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Ni])[Ni][Zn],COc1ccc(C(=O)Nc2cccc(CNc3ccnc4c(C(N)=O)cccc34)c2)cc1F,
[Sc][Zn][Sc][Sc]=[Ti][Co][Ni][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)cc1OC,
[Sc][Zn][Co][Sc][Ni][Co][Sc]([Zn])[Zn],Cc1cc(NC(=O)c2nscc2NCc2ccncc2)ccc1C(F)(F)F,
[Sc][Sc]([Zn])=[Sc][Co][Zn][Sc][Co][Ni][Co][Sc][Zn],CCc1ccccc1NC(=O)Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Zn])[Nb]([Zn])[Zn],C=CCN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,
[Sc]=[Sc][Sc]([Zn])[Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn],COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(Cl)c4)c3)ncnc12,
[Co][Sc]=[Sc]([Hf][Ni][Zn][Ni][Zn])[Sc]([Ni])[Co][Sc]=[Sc][Zn],COCCOC1CCC(n2nc(-c3ccc(Nc4nc5cc(Cl)ccc5o4)c(F)c3)c3c(N)ncnc32)CC1,
[Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Sc][Ni][Zn][Nb]([Zn])[Zn],CN(C)CCOc1cccc(-c2cc3c(NCCc4ccc(NC(=O)Nc5ccccc5)cc4)ncnc3o2)c1,
[Co][Sc][Sc]=[Re][Zn][Sc]([Cu])([Zn])[Zn],Nc1nc(-c2ccc3c(c2)C(=Cc2cc(Br)c(O)c(Br)c2)C(=O)N3)cs1,
[Zn][Sc][Zn][Y][Mn]([Zn])[Sc][Y][Zn],Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)cc5)nc34)CC2)no1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn],COc1ncc(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)cn1,
