smiles,Serine_threonine-protein_kinase_mTOR
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(C(=O)N(C)C)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(C#N)c(F)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C(=O)NCC(F)F)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(CN(C)C)c3)nc2n1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CNCC(C)C,1.0
COCCNCc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CNC(C)C,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc([N+](=O)[O-])cc3)nc2n1,1.0
CC(C)N(C)Cc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(CNCCO)cc3)nc2n1,1.0
Cc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
CNCc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
Cc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CC(C)OC(C)C4)nc3n2)c1,1.0
CC(C)C(=O)NCc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CON(C)C(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1F,1.0
CNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4)nc3n2)ccc1OC,1.0
CNC(=O)c1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(CN)c3)nc2n1,1.0
COCC(=O)N(C)Cc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(O)cc3)nc2n1,1.0
C=CCN(C)C(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CC(C)Oc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1C(N)=O,1.0
COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4CC(C)OC(C)C4)nc3n2)cc1CO,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(NS(C)(=O)=O)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(NS(C)(=O)=O)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(O)c(C(=O)O)c3)nc2n1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1C(N)=O,1.0
COCC(=O)NCc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
CNCc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CNC(C)CC(C)C,1.0
Cc1ccccc1-c1ccc2c(N3CCOCC3C)nc(N3CC(C)OC(C)C3)nc2n1,1.0
CON(C)C(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC(C)NCc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4)nc3n2)cc1CO,1.0
CCNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC(C)Oc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1C#N,0.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4)nc3n2)cc1C(N)=O,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(C#N)cc3)nc2n1,1.0
C#CCN(C)C(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCN)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)CO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1C,1.0
CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(F)c2)cn1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCCCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2Cl)CC1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)=O)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(CCC#N)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)CO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)CO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1.0
CCOC(=O)N1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2Cl)CC1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC(C)(C)O)CC3)c(F)c2)c1C#Cc1ccc(NC)nc1,1.0
CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)COC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,1.0
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,1.0
