smiles,Epidermal_growth_factor_receptor_erbB1
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
Nc1ccc2ncnc(Nc3ccccc3)c2c1,1.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(C)C(N)=O,1.0
NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCCNC(C)=O,1.0
COc1cc2ncnc(Nc3cccc(B(O)O)c3)c2cc1OC,0.0
CN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)N(C)c1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(C)=O,1.0
O=[N+]([O-])c1ccc2c(Nc3cccc(I)c3)ncnc2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C=CCN(C)C,1.0
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNCC(C)=O,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN(C)C(C)C(N)=O,1.0
CN=NNc1ccc2ncnc(Nc3cccc(C)c3)c2c1,1.0
