smiles,Serine_threonine-protein_kinase_AKT
Cc1c[nH]c2ncnc(N3CCC(N)(CNC(=O)c4cccc(F)c4)C3)c12,1.0
Cc1c(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc(C#N)c(=O)n1C,0.0
Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CC1,1.0
NC(CNc1ncc(-c2ccc3c(c2)CCC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,0.0
Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,1.0
CN(C)CCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,1.0
ON=C1CCc2cc(-c3nc(C4CCNCC4)[nH]c3-c3ccncc3)ccc21,0.0
CSc1nc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)cn2n1,1.0
O=C(Nc1n[nH]c2nnc(-c3cccnc3)cc12)C1CC1,0.0
O=C(c1ccc2c(c1)OCO2)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,0.0
O=C(Nc1n[nH]c2cc(-c3ccccc3)ccc12)C1CC1,0.0
COC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1-c1cccc(OC)c1,1.0
CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,0.0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.0
CSc1nn(-c2ccccn2)c(N)c1C(N)=O,0.0
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCN(C)C)CC1,1.0
COc1cccc(Nc2cc(N3CCCC3C(=O)NCCc3ccc(O)cc3)nc(N)n2)c1,0.0
O=C1CC2OC3(CCCC3)C3=C(C(=O)c4ccccc4C3=O)C2O1,1.0
NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1,1.0
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccc(-c5nn[nH]n5)cc4nc3-c3ccccc3)cc2)CC1,1.0
Cc1cc(-c2ccc3c(c2)nn2cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nc32)[nH]n1,1.0
Cc1nc(O)c(N)cc1-c1ccncc1,0.0
