smiles,Serine_threonine-protein_kinase_B-raf
CNC1CCCC(n2cc(-c3ccc4c(c3)CCC4=NO)c(-c3ccncc3)n2)C1,1.0
Clc1ccc(CNc2nccc(-c3cnn4ncccc34)n2)cc1,0.0
CCc1nccc2c1nc(-c1nonc1N)n2CC,0.0
c1cc(Nc2ncnc3ccc(-c4ccc5[nH]ncc5c4)cc23)c2cn[nH]c2c1,1.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(N3CC(N4CCN(C)CC4)C3)c2)nn1,1.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2cnc(NCc3ccccc3)nc12,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)nc(N2CCOCC2)c1,1.0
O=S(=O)(Nc1ccc(F)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1F)c1nccs1,1.0
Nc1ncnc2c1ncn2CC(=O)c1c[nH]c2ccccc12,0.0
Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3cccc(F)c3)n2)cc1,0.0
COc1cc(-c2ccc3ncnc(Nc4ccccc4F)c3c2)ccc1O,1.0
Cc1ccc(NC(=O)c2cc(CN3CCN(C)CC3)c(C(C)(C)C)o2)cc1-n1cc(-c2cncc(N3CCOCC3)c2)nn1,1.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(N3CCCOCC3)c2)nn1,1.0
CC(=O)NS(=O)(=O)c1ccc2[nH]c3cnccc3c2c1,0.0
COC(=O)NCC(C)Nc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,1.0
Cc1ccc(C(=O)Nc2cc(N3CCCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,1.0
O=C(Cc1cccc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1,0.0
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCOCC5)nc34)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O,1.0
CC(C)(C)c1cc(NC(=O)c2cccc(Oc3ccnc4[nH]c(=O)cnc34)c2)n(-c2ccccc2)n1,1.0
CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cccnc2)c1F,0.0
Cc1ccc(C(=O)Nc2cc(CN3CCCC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2ccc(N3CCOCC3)nc12,1.0
Cc1ncc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)c(=O)n(CCO)c1,1.0
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(-c4ccncc4)c23)c1,1.0
CCS(=O)(=O)Nc1cc(F)cc(-c2[nH]c(C3CC3)nc2-c2ccnc(NCC(C)NC(=O)OC)n2)c1Cl,1.0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1ccccn1,1.0
CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cc(N5CCN(C)CC5C)cc(C(F)(F)F)c4)ccc3C)ccc2n1,1.0
Cn1nc(C(C)(C)C)cc1C(=O)Nc1cccc(Nc2cc3c(cc2Cl)C(=O)NC3=O)c1,1.0
Cc1ccc(NC(=O)c2cccc(S(C)(=O)=O)c2)cc1-c1cc(N2CCOCC2)nc(N2CCOCC2)n1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCCOCC2)nc(N2CCOCC2)n1,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cncc(S(C)(=O)=O)c4)cc23)c1F,1.0
COCCN(C)c1ncc2ncnc(Nc3cc(C(=O)Nc4cc(C(F)(F)F)ccn4)ccc3C)c2n1,1.0
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2ccc(Oc3ccnc(-c4cnc(C(F)(F)F)[nH]4)c3)cc21,1.0
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(OCCN(C)C)c3)ccc2[nH]1,1.0
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4ccc(Cl)cc4[nH]3)ccnc2N1,1.0
CS(=O)(=O)N1CCN(Cc2cc3c(N4CCOCC4)nc(-c4cnc(N)nc4)cn3n2)CC1,0.0
CCn1c(=O)n(CC)c2c(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)ccnc21,1.0
COC(=O)Nc1nc2cc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c3)ccc2[nH]1,0.0
CN(C)CC(=O)Nc1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,1.0
COc1cccc(-n2cc(NC(=O)Cn3ccc(-c4ccccn4)n3)cn2)c1,1.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(=O)(=O)NC5CC5)cc4)cc23)c1F,1.0
CCN1CCN(c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(N6CCCOCC6)nc45)c3)cc(C(F)(F)F)c2)CC1,1.0
CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1,1.0
NC(CO)c1cc(C(=O)NC2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,1.0
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Br)cc4)ncc3c2)ccn1,1.0
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(Cl)c23)c1,1.0
O=C1COc2ccc(C3(O)c4ccccc4C(=O)N3c3ccc(Cl)cc3)cc2N1,1.0
