smiles,Tyrosine-protein_kinase_BTK
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)c(Br)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)c(F)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3cccc(Cl)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)c(OC)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)c(Cl)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3cc(OC)c(OC)c(OC)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)c(OC)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccccc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C(F)(F)F)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3cc(F)c(F)c(Cl)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC(F)(F)F)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3cc(Cl)c(OC)c(Cl)c3)nn21,1.0
CC=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(NC(=O)CCl)c2)nc1,1.0
C=CC(=O)N(C(=O)C=C)c1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
Cc1ccc(NC(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3Cl)cn2)c1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(F)c2)nc1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(C(F)(F)F)c2)nc1,1.0
C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(F)c4)ccc3C)cn2)c1,1.0
CCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
CCC(=O)N(C(=O)CC)c1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,0.0
C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
C=CC(=O)NCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N)cc2)nc1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccccc2)nc1,1.0
Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3F)cn2)c1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(NC(=O)C=CCN(C)C)c2)nc1,1.0
COc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
Nc1cccc(Nc2ncc(NC(=O)c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)cn2)c1,1.0
Cc1ccc(NC(=O)c2cccc(F)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(NC(=O)CCN(C)C)c2)nc1,1.0
C=CS(=O)(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,1.0
Cc1ccc(NC(=O)c2cc(Cl)cc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
Cc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,1.0
Cc1ccc(F)cc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
COc1cc2nc(Nc3ccccc3C)c3cncn3c2cc1NC(=O)C=CCN(C)C,1.0
CN(C)CC=CC(=O)N(C)c1cc2c(cc1Cl)nc(Nc1ccccc1Cl)c1cncn12,1.0
Cc1ccc(Cl)cc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1ccccc1Nc1nc2cc(Cl)c(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1cc(O)ccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1ccc(F)cc1Nc1nc2cc(Cl)c(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
CNc1cc2c(cc1F)nc(Nc1ccccc1C)c1cncn12,1.0
Cc1cc(F)ccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1cc(F)ccc1Nc1nc2cc(F)c(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
CN(C)CC=CC(=O)N(C)c1cc2c(cc1F)nc(Nc1ccccc1Cl)c1cncn12,1.0
Cc1cc(F)ccc1Nc1nc2cc(Cl)c(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1c(Cl)cccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1cc(Cl)ccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1ccccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1cccc(Cl)c1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1ccc(F)cc1Nc1nc2cc(F)c(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1ccc(O)cc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
CNc1ccc2nc(Nc3cc(F)ccc3C)c3cncn3c2c1,1.0
Cc1cccc(O)c1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1c(O)cccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
Cc1c(F)cccc1Nc1nc2ccc(N(C)C(=O)C=CCN(C)C)cc2n2cncc12,1.0
CCN(C(=O)C=CCN(C)C)c1cc2c(cc1OC)nc(Nc1ccccc1C)c1cncn12,1.0
CN(C)CC=CC(=O)N1CCCC1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,1.0
C=CC(=O)N1CCCC1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,1.0
CC(C)C=C(C#N)C(=O)N1CCCC1Cn1nc(-c2ccc(Oc3cc(F)ccc3F)cc2)c2c(N)ncnc21,1.0
